Make,Model,Year,EngineCapacity,TransmissionType,HandlingCapability,InstrumentsAndControls,SafetyAndSecurity,ExteriorDesign,InteriorDesign,AudioSystem,ComfortAndConvenience,MaintenancePrograms,ExtraPackages
Toyota,GR Supra,2017,4.8,Manual,Anti-lock Brakes| Traction ControlTPAS,Service Indicator| on-board Computer,Rear-view Camera| Front and Side Airbags|  Automatic Fuel cut-off,Sunroof| Metallic Paint,Rear Cup Holders| Leather upholstery| Glove Box,Bluetooth| Satellite Radio,KeyLess Entry| Heated Seats,36-month/36|000-mile limited warranty, Basic Package
Toyota,Corolla Hybrid,2017,2,Manual,Power Steering| Traction ControlTPAS,Service Indicator| on-board Computer, Automatic Fuel cut-off| Rear-view Camera| Lane Assist,Sunroof| Metallic Paint,Rear Cup Holders| Glove Box| Leather upholstery,AM/FM Radio| Satellite Radio,Heated Seats| KeyLess Entry,36-month/36|000-mile limited warranty, Basic Package
Toyota,Prius Prime,2016,2.5,Manual,Power Steering| Anti-lock Brakes,on-board Computer| Service Indicator,Front and Side Airbags| Lane Assist|  Automatic Fuel cut-off,Trim| Alloy Wheels,Screen| Adjustable Seats| Rear Cup Holders,Satellite Radio| Smart Radio,KeyLess Entry| Remote Start,4-year/50|000-mile bumper-to-bumper warranty,Premium Package
Toyota,GR Supra,1990,5,Manual,Anti-lock Brakes| Traction ControlTPAS,Service Indicator| Navigation,Rear-view Camera|  Automatic Fuel cut-off| Front and Side Airbags,Alloy Wheels| Trim,Leather upholstery| Adjustable Seats| Screen,CD Player| Satellite Radio,SelfLock| Automatic Wipers,, Basic Package
Toyota,Mirai,2004,3,Automatic,4-Wheel Drive| Power Steering,Service Indicator| on-board Computer, Automatic Fuel cut-off| Rear-view Camera| Front and Side Airbags,Metallic Paint| Trim,Screen| Leather upholstery| Adjustable Seats,Satellite Radio| CD Player,Remote Start| SelfLock,4-year/50|000-mile bumper-to-bumper warranty, Sports Package
Toyota,GR Supra,2009,3.4,Automatic,Anti-lock Brakes| Power Steering,Navigation| Service Indicator,Front and Side Airbags|  Automatic Fuel cut-off| Rear-view Camera,Alloy Wheels| Sunroof,Glove Box| Adjustable Seats| Rear Cup Holders,AM/FM Radio| Satellite Radio,Remote Start| Heated Seats,TCUV warranty,Premium Package
Toyota,Camry,2008,2.5,Automatic,Traction ControlTPAS| Power Steering,Service Indicator| Navigation, Automatic Fuel cut-off| Seatbelt Sensor| Lane Assist,Trim| Alloy Wheels,Glove Box| Leather upholstery| Adjustable Seats,Bluetooth| CD Player,KeyLess Entry| Sunroof,36-month/36|000-mile limited warranty,Premium Package
Toyota,Prius Prime,1995,4.8,Manual,Traction ControlTPAS| Power Steering,Service Indicator| Navigation,Rear-view Camera| Seatbelt Sensor| Lane Assist,Alloy Wheels| Metallic Paint,Screen| Rear Cup Holders| Adjustable Seats,Satellite Radio| Bluetooth,Heated Seats| KeyLess Entry,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,86,2013,3.4,Automatic,Anti-lock Brakes| Power Steering,on-board Computer| Service Indicator,Front and Side Airbags| Lane Assist| Rear-view Camera,Trim| Sunroof,Adjustable Seats| Glove Box| Screen,AM/FM Radio| Satellite Radio,KeyLess Entry| Sunroof,, Basic Package
Toyota,Prius,1990,2.8,Automatic,Anti-lock Brakes| Power Steering,Navigation| Service Indicator,Lane Assist| Seatbelt Sensor| Front and Side Airbags,Metallic Paint| Sunroof,Screen| Rear Cup Holders| Adjustable Seats,CD Player| Smart Radio,Automatic Wipers| SelfLock,4-year/50|000-mile bumper-to-bumper warranty, Basic Package
Toyota,Corolla Hybrid,2000,4.5,Automatic,Power Steering| Anti-lock Brakes,Navigation| on-board Computer,Front and Side Airbags| Seatbelt Sensor| Rear-view Camera,Sunroof| Trim,Glove Box| Screen| Adjustable Seats,AM/FM Radio| Bluetooth,Cruise Control| KeyLess Entry,TCUV warranty,Premium Package
Toyota,Corolla,1993,4.8,Automatic,Power Steering| Anti-lock Brakes,Navigation| Service Indicator,Seatbelt Sensor| Lane Assist|  Automatic Fuel cut-off,Alloy Wheels| Trim,Adjustable Seats| Rear Cup Holders| Glove Box,CD Player| Satellite Radio,Automatic Wipers| Sunroof,TCUV warranty, Basic Package
Toyota,Prius,2015,5,Manual,Anti-lock Brakes| Traction ControlTPAS,Service Indicator| on-board Computer,Lane Assist| Rear-view Camera|  Automatic Fuel cut-off,Metallic Paint| Sunroof,Rear Cup Holders| Adjustable Seats| Glove Box,Smart Radio| CD Player,SelfLock| KeyLess Entry,, Basic Package
Toyota,Corolla Hybrid,1995,3.4,Automatic,4-Wheel Drive| Power Steering,Service Indicator| on-board Computer,Seatbelt Sensor|  Automatic Fuel cut-off| Lane Assist,Sunroof| Metallic Paint,Leather upholstery| Glove Box| Rear Cup Holders,AM/FM Radio| Bluetooth,Automatic Wipers| Remote Start,36-month/36|000-mile limited warranty, Sports Package
Toyota,Yaris,2006,4.5,Manual,Anti-lock Brakes| Power Steering,on-board Computer| Service Indicator,Lane Assist| Seatbelt Sensor|  Automatic Fuel cut-off,Alloy Wheels| Trim,Adjustable Seats| Rear Cup Holders| Screen,Smart Radio| CD Player,Remote Start| Cruise Control,TCUV warranty,Premium Package
Toyota,Corolla Hatchback,1998,5,Manual,Anti-lock Brakes| Traction ControlTPAS,Service Indicator| Navigation,Front and Side Airbags| Seatbelt Sensor| Lane Assist,Trim| Alloy Wheels,Leather upholstery| Rear Cup Holders| Screen,Satellite Radio| Bluetooth,Heated Seats| Cruise Control,4-year/50|000-mile bumper-to-bumper warranty,Premium Package
Toyota,Prius,1997,3,Manual,4-Wheel Drive| Anti-lock Brakes,Navigation| on-board Computer,Lane Assist| Seatbelt Sensor| Rear-view Camera,Trim| Sunroof,Adjustable Seats| Leather upholstery| Glove Box,Bluetooth| Satellite Radio,Sunroof| Cruise Control,4-year/50|000-mile bumper-to-bumper warranty, Sports Package
